Language	ISO 639-3	Glottocode	adverbial_clause	complement_clause	nominalization	relative_clause	subordination
Tiefo-Nyafogo-Numudara	NOCODE_Tiefo-Nyafogo-Numudara	tief1244	True	True	True	True	False
Tidore	tvo	tido1248	False	True	True	True	True
Ticuna	tca	ticu1245	True	True	True	True	False
Ternate	tft	tern1247	True	True	False	True	True
Teop	tio	teop1238	True	True	True	True	False
Tedim Chin	ctd	tedi1235	True	True	True	True	False
Tatuyo	tav	tatu1247	True	True	True	True	False
Tariana	tae	tari1256	False	True	True	True	True
Tapieté	tpj	tapi1253	True	True	True	True	False
Tanzanian Ngoni	xnj	tanz1241	True	False	True	True	True
Takia	tbc	taki1248	False	True	True	True	True
Tajik	tgk	taji1245	True	True	False	True	True
Tainae	ago	tain1253	True	False	True	True	True
Tai Dam	blt	taid1247	True	True	False	True	True
Sãotomense	cri	saot1239	True	True	False	True	True
Svan	sva	svan1243	True	False	True	True	True
Surigaonon	sgd	suri1273	False	True	True	True	True
Sundanese	sun	sund1252	True	True	True	True	False
Sukur	syk	suku1272	True	True	False	True	True
Sudest	tgo	sude1239	False	True	True	True	True
Stau-Dgebshes	ero	horp1239	False	True	True	True	True
Southern Rengma Naga	nre	sout2732	True	True	True	True	False
Southern Pomo	peq	sout2984	False	True	True	True	True
Southern Kisi	kss	sout2778	True	True	True	True	False
Southeast Pashayi	psi	sout2672	True	True	False	True	True
South Azerbaijani	azb	sout2697	True	True	True	True	False
Sonsorol	sov	sons1242	False	True	True	True	True
Soga	xog	soga1242	True	True	True	True	False
Skolt Sami	sms	skol1241	True	True	True	True	False
Siraya	fos	sira1267	True	True	True	True	False
Sipacapense	qum	sipa1247	True	True	True	True	False
Silt'e	stv	silt1240	False	True	True	True	True
Sidamo	sid	sida1246	True	True	False	True	True
Sichuan Yi	iii	sich1238	True	True	True	True	False
Shipibo-Conibo	shp	ship1254	True	True	True	True	False
Shekhawati	swv	shek1243	True	True	False	True	True
Shawi	cbt	chay1248	False	True	True	True	True
Seri	sei	seri1257	True	True	True	True	False
Senhaja De Srair	sjs	senh1238	False	True	True	True	True
Semaq Beri	szc	sema1265	True	True	True	True	False
Saposa	sps	sapo1253	False	True	True	True	True
Sangisari	sgr	sang1315	True	True	False	True	True
San Francisco del Mar Huave	hue	sanf1258	False	True	True	True	True
Sakha	sah	yaku1245	True	True	False	True	True
Rukai	dru	ruka1240	True	True	True	False	True
Ritarungo	rit	rita1239	True	True	True	True	False
Rembong-Wangka	reb	remb1250	False	True	True	True	True
Raute	rau	raut1239	True	True	False	True	True
Rana Tharu	thr	rana1246	True	True	False	True	True
Rama	rma	rama1270	False	True	True	True	True
Rakahanga-Manihiki	rkh	raka1237	True	True	True	True	False
Raji	rji	raji1240	True	True	False	True	True
Rajbanshi	rjs	rajb1243	True	True	True	True	False
Qaqet	byx	qaqe1238	False	True	True	True	True
Pitjantjatjara	pjt	pitj1243	True	False	True	True	True
Pite Sami	sje	pite1240	True	True	False	True	True
Pirahã	myp	pira1253	True	True	True	True	False
