Language	ISO 639-3	Glottocode	contrastive_tone	pitch_accent	prosody	tonal_contrast	tonal_system	tone
Northern Tujia	tji	nort2732	True	False	False	False	False	True
Northern Paiute	pao	nort2954	False	True	False	False	False	True
Northern Gumuz	guk	gumu1244	False	True	False	False	False	True
Northern Emberá	emp	nort2972	False	False	True	False	False	True
Northern Dagara	dgi	nort2780	False	False	True	False	False	True
Northeastern Thai	tts	nort2741	False	False	False	True	False	True
Nonuya	noj	nonu1241	False	False	False	True	False	True
Nomaande	lem	noma1260	False	False	False	False	True	True
Njerep	njr	njer1242	False	False	False	True	False	True
Njanga	NOCODE_Njanga	njan1240	False	False	False	True	False	True
Nigerian Pidgin	pcm	nige1257	False	True	False	False	False	True
Nhanda	nha	nhan1238	False	True	False	False	False	True
Ngwe	nwe	ngwe1238	False	False	False	False	True	True
Ngarla on the Ashburton river south of the Hamersley range	nrk	ngar1296	False	False	True	False	False	True
Nganasan	nio	ngan1291	False	True	False	False	False	True
Ngalkbun	ngk	ngal1292	False	True	True	False	False	False
Ndut	ndv	ndut1239	False	False	True	False	False	True
Ndengereko	ndg	nden1248	False	False	True	False	False	True
Nawuri	naw	nawu1242	True	False	False	False	False	True
Nauete	nxa	naue1237	False	False	True	False	False	True
Nara	nrb	nara1262	False	False	False	True	False	True
Nar Phu	npa	narp1239	False	False	False	True	False	True
Nanggu	ngr	nang1262	False	False	True	False	False	True
Nande	nnb	nand1264	False	False	False	False	True	True
Nambo	ncm	namb1293	False	False	True	False	False	True
Najanga-Kindige	dbu	bond1248	False	False	True	False	False	True
Nahenic	NOCODE_Nahenic	nahe1238	False	False	False	False	True	True
Nahavaq	sns	sout2857	False	False	True	False	False	True
Mün Chin	mwq	munc1235	False	False	False	False	True	True
Mwani	wmw	mwan1247	False	True	False	False	False	True
Mwaghavul	sur	mwag1236	False	False	False	False	True	True
Muyang	muy	muya1243	False	False	True	False	False	True
Murui Huitoto	huu	muru1274	False	False	False	True	False	True
Mursi	muz	murs1242	False	False	False	True	False	True
Mundabli	boe	mund1328	True	False	False	False	False	True
Mumuye	mzm	nucl1240	False	False	False	True	False	True
Mpur	akc	mpur1239	False	False	True	False	False	True
Mpoto	mpa	mpot1240	False	True	False	False	False	True
Moyon	nmo	moyo1238	False	False	False	False	True	True
Movima	mzp	movi1243	False	False	True	False	False	True
Montagnais	moe	mont1268	False	False	True	False	False	True
Mono (Democratic Republic of Congo)	mnh	mono1270	False	False	False	False	True	True
Moloko	mlw	molo1266	False	False	True	False	False	True
Mokpwe	bri	mokp1239	False	False	False	False	True	True
