ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family_Glottocode,Family_Name,Status,Parent_Glottocode
pent1242,Pentlatch,North America,49.1936,-124.689,pent1242,ptw,sali1255,Salishan,extinct,cent2129
halk1245,Halkomelem,North America,48.0751,-122.029,halk1245,hur,sali1255,Salishan,shifting,cent2129
lush1252,Northern Lushootseed,North America,48.42,-122.529,lush1252,lut,sali1255,Salishan,nearly extinct,lush1251
sout2965,Southern Puget Sound Salish,North America,47.263000000000005,-122.141,sout2965,slh,sali1255,Salishan,extinct,lush1251
stra1244,Northern Straits Salish,North America,48.51614,-123.75711399999999,stra1244,str,sali1255,Salishan,nearly extinct,stra1246
clal1241,Clallam,North America,48.0707,-123.51100000000001,clal1241,clm,sali1255,Salishan,extinct,stra1246
wany1247,Wanyi,Australia,-18.6529,137.608,wany1247,wny,garr1260,Garrwan,nearly extinct,garr1260
gara1269,Garrwa,Australia,-17.4504,137.72014,gara1269,wrk,garr1260,Garrwan,moribund,garr1260
kata1270,Katawixi,South America,-7.25015,-64.8319,kata1270,xat,katu1274,Katukinan,extinct,katu1274
kana1291,Katukína-Kanamarí,South America,-6.45399,-68.7678,kana1291,knm,katu1274,Katukinan,shifting,katu1274
zapa1253,Záparo,South America,-1.9987099999999998,-76.36399999999999,zapa1253,zro,zapa1251,Zaparoan,nearly extinct,zapa1252
aush1242,Aushiri,South America,-3.3196,-74.5411,aush1242,avs,zapa1251,Zaparoan,extinct,zapa1252
arab1268,Arabela,South America,-1.9612599999999998,-75.0612,arab1268,arl,zapa1251,Zaparoan,nearly extinct,arab1396
ando1255,Andoa,South America,-3.29664,-76.6056,ando1255,anb,zapa1251,Zaparoan,extinct,arab1396
cahu1268,Cahuarano,South America,-3.72665,-73.9469,cahu1268,cah,zapa1251,Zaparoan,extinct,cahu1267
iqui1243,Iquito,South America,-3.31233,-73.97046,iqui1243,iqu,zapa1251,Zaparoan,nearly extinct,cahu1267
lusi1235,Lusitanian,Eurasia,39.943975,-8.105283,lusi1235,xls,indo1319,Indo-European,extinct,indo1319
daci1234,Dacian,Eurasia,46.2,23.3,daci1234,xdc,indo1319,Indo-European,extinct,indo1319
mess1244,Messapic,Eurasia,40.538334000000006,17.860344,mess1244,cms,indo1319,Indo-European,extinct,indo1319
thra1250,Thracian,Eurasia,42.115469,24.711976999999997,thra1250,txh,indo1319,Indo-European,extinct,indo1319
vene1257,Venetic,Eurasia,45.601000000000006,12.059000000000001,vene1257,xve,indo1319,Indo-European,extinct,indo1319
fali1291,Faliscan,Eurasia,42.3,12.345,fali1291,xfa,indo1319,Indo-European,extinct,lati1262
oldl1238,Old Latin,Eurasia,41.901111,12.488333,oldl1238,qbb,indo1319,Indo-European,extinct,lati1263
lati1261,Latin,Eurasia,41.9026,12.4502,lati1261,lat,indo1319,Indo-European,extinct,impe1234
